# ----------------------------------------,,,,,,,,,,,
# Google organic search traffic: Landing page + query string,,,,,,,,,,,
# Account: Default Account for Firebase,,,,,,,,,,,
# Property: www.quickbizcalc.com,,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,,
# ,,,,,,,,,,,
# All Users,,,,,,,,,,,
# Start date: 20260511,,,,,,,,,,,
# End date: 20260808,,,,,,,,,,,
Landing page + query string,Organic Google Search clicks,Organic Google Search impressions,Organic Google Search click through rate,Organic Google Search average position,Active users,Engaged sessions,Engagement rate,Average engagement time per active user,Event count,Key events,Ad revenue
/calculators/hourly-paycheck-calculator,21,13533,0.001551762,11.70752974,0,0,0,0,0,0,0
/calculators/time-card-calculator-with-lunch,7,5102,0.001372011,26.01332811,1,0,0,0,3,0,0
/calculators/time-card-calculator,4,1226,0.003262643,68.56933116,1,1,1,33,4,0,0
/calculators/wages-calculator,4,1160,0.003448276,9.163793103,0,0,0,0,0,0,0
/calculators/business-day-calculator,3,5480,0.000547445,43.94963504,0,0,0,0,0,0,0
/calculators/salary-tax-calculator,3,2252,0.001332149,59.38321492,0,0,0,0,0,0,0
/calculators/billable-hours-calculator,2,1003,0.001994018,39.82751745,0,0,0,0,0,0,0
/calculators/bonus-tax-calculator,2,566,0.003533569,30.40106007,0,0,0,0,0,0,0
/,1,240,0.004166667,56.39583333,2,2,0.666666667,22.5,17,0,0
/calculators/tax-bracket-calculator,1,1228,0.000814332,58.06107492,0,0,0,0,0,0,0
/calculators/time-and-a-half-calculator,1,2553,0.000391696,46.8119859,0,0,0,0,0,0,0
/calculators/workers-comp-calculator,1,770,0.001298701,63.90779221,0,0,0,0,0,0,0
/blog,0,36,0,52.55555556,0,0,0,0,0,0,0
/blog/4-day-work-week-pros-cons,0,1,0,33,0,0,0,0,0,0,0
/blog/5-essential-hr-metrics,0,5,0,50.8,0,0,0,0,0,0,0
/blog/contractor-vs-employee-misclassification,0,1,0,51,0,0,0,0,0,0,0
/blog/hidden-costs-of-employee-turnover,0,11,0,40.72727273,0,0,0,0,0,0,0
/blog/how-to-calculate-payroll-taxes,0,2,0,58,0,0,0,0,0,0,0
/blog/how-to-structure-sales-commission-plan,0,315,0,81.19365079,0,0,0,0,0,0,0
/blog/salary-vs-hourly-which-is-better,0,31,0,54.22580645,0,0,0,0,0,0,0
/calculators/after-tax-income-calculator,0,1268,0,48.38722397,0,0,0,0,0,0,0
/calculators/commission-calculator,0,794,0,43.34256927,0,0,0,0,0,0,0
/calculators/cost-per-hire-calculator,0,599,0,80.81135225,0,0,0,0,0,0,0
/calculators/employee-turnover-calculator,0,1020,0,73.08823529,0,0,0,0,0,0,0
/calculators/gross-margin-calculator,0,1126,0,39.43428064,0,0,0,0,0,0,0
/calculators/overtime-calculator,0,440,0,71.98636364,0,0,0,0,0,0,0
/calculators/payroll-deduction-calculator,0,1241,0,50.92425463,0,0,0,0,0,0,0
/calculators/profit-margin-calculator,0,1210,0,66.20826446,0,0,0,0,0,0,0
/calculators/property-tax-calculator,0,1499,0,23.56904603,0,0,0,0,0,0,0
/calculators/revenue-per-employee-calculator,0,404,0,30.21039604,0,0,0,0,0,0,0
/calculators/roi-calculator,0,993,0,50.57905337,0,0,0,0,0,0,0
/contact,0,19,0,23.26315789,0,0,0,0,0,0,0
/cookie-policy,0,6,0,5.333333333,0,0,0,0,0,0,0
/disclaimer,0,18,0,2.888888889,0,0,0,0,0,0,0
/glossary,0,54,0,60.55555556,0,0,0,0,0,0,0
/privacy-policy,0,6,0,4.666666667,0,0,0,0,0,0,0
