Date,Not indexed,Indexed,Impressions
2026-05-11,38,2,0
2026-05-12,36,15,0
2026-05-13,36,15,0
2026-05-14,36,15,1
2026-05-15,36,15,8
2026-05-16,30,24,51
2026-05-17,30,24,98
2026-05-18,30,24,111
2026-05-19,27,27,80
2026-05-20,27,27,136
2026-05-21,27,27,62
2026-05-22,27,27,65
2026-05-23,26,28,55
2026-05-24,26,28,47
2026-05-25,26,28,60
2026-05-26,27,28,65
2026-05-27,27,28,111
2026-05-28,27,28,96
2026-05-29,27,28,107
2026-05-30,10,30,104
2026-05-31,10,30,99
2026-06-01,10,30,98
2026-06-02,26,30,74
2026-06-03,26,30,114
2026-06-04,26,30,102
2026-06-05,26,30,97
2026-06-06,10,30,96
2026-06-07,10,30,163
2026-06-08,10,30,156
2026-06-09,11,33,193
2026-06-10,11,33,351
2026-06-11,11,33,332
2026-06-12,11,33,268
2026-06-13,12,34,308
2026-06-14,12,34,370
2026-06-15,12,34,348
2026-06-16,12,34,354
2026-06-17,12,34,343
2026-06-18,12,34,432
2026-06-19,12,34,368
2026-06-20,12,34,360
2026-06-21,12,34,294
2026-06-22,12,34,395
2026-06-23,12,34,438
2026-06-24,12,34,442
2026-06-25,12,34,455
2026-06-26,12,34,408
2026-06-27,12,34,364
2026-06-28,12,34,460
2026-06-29,12,34,628
2026-06-30,12,34,566
2026-07-01,14,33,487
2026-07-02,14,33,462
2026-07-03,14,33,582
2026-07-04,14,33,625
2026-07-05,14,33,713
2026-07-06,14,33,796
2026-07-07,14,33,856
2026-07-08,14,33,907
2026-07-09,14,33,1417
2026-07-10,14,33,1161
2026-07-11,12,35,962
2026-07-12,12,35,832
2026-07-13,12,35,1056
2026-07-14,12,35,1074
2026-07-15,12,35,1044
2026-07-16,12,35,954
2026-07-17,12,35,850
2026-07-18,12,35,629
2026-07-19,12,35,634
2026-07-20,12,35,818
2026-07-21,12,35,891
2026-07-22,12,35,867
2026-07-23,12,35,867
2026-07-24,12,35,931
2026-07-25,11,36,660
2026-07-26,11,36,745
2026-07-27,11,36,988
2026-07-28,11,36,1300
2026-07-29,11,36,1367
2026-07-30,11,36,1457
2026-07-31,11,36,1303
2026-08-01,11,36,1081
2026-08-02,11,36,1063
2026-08-03,11,36,1104
2026-08-04,11,36,1037
2026-08-05,11,36,1426
