Date,Clicks,Impressions,CTR,Position
2026-05-07,0,0,,
2026-05-08,0,0,,
2026-05-09,0,0,,
2026-05-10,0,0,,
2026-05-11,0,0,,
2026-05-12,0,0,,
2026-05-13,0,0,,
2026-05-14,0,1,0%,2
2026-05-15,0,8,0%,53.4
2026-05-16,0,51,0%,82.4
2026-05-17,0,98,0%,84.3
2026-05-18,0,111,0%,82.2
2026-05-19,0,80,0%,81.8
2026-05-20,0,136,0%,82.8
2026-05-21,0,62,0%,84.1
2026-05-22,0,65,0%,77.1
2026-05-23,0,55,0%,78.4
2026-05-24,0,47,0%,76.8
2026-05-25,0,60,0%,80.9
2026-05-26,0,65,0%,81.1
2026-05-27,0,111,0%,69.2
2026-05-28,0,96,0%,78.4
2026-05-29,0,107,0%,69.6
2026-05-30,0,104,0%,68.5
2026-05-31,0,99,0%,72.7
2026-06-01,0,98,0%,64.5
2026-06-02,0,74,0%,64.1
2026-06-03,0,114,0%,70
2026-06-04,0,102,0%,70.1
2026-06-05,0,97,0%,66.2
2026-06-06,0,96,0%,69.1
2026-06-07,0,163,0%,54.6
2026-06-08,0,156,0%,49.3
2026-06-09,1,193,0.52%,53.9
2026-06-10,0,351,0%,61.1
2026-06-11,0,332,0%,61
2026-06-12,0,268,0%,57.6
2026-06-13,0,308,0%,62.1
2026-06-14,0,370,0%,57.7
2026-06-15,0,348,0%,58.6
2026-06-16,0,354,0%,56.9
2026-06-17,0,343,0%,49.1
2026-06-18,0,432,0%,44.5
2026-06-19,0,368,0%,44.3
2026-06-20,0,360,0%,49.6
2026-06-21,0,294,0%,47.2
2026-06-22,0,395,0%,38
2026-06-23,0,438,0%,40.4
2026-06-24,0,442,0%,45.4
2026-06-25,0,455,0%,40
2026-06-26,1,408,0.25%,36.2
2026-06-27,0,364,0%,53.2
2026-06-28,0,460,0%,53.1
2026-06-29,0,628,0%,45.1
2026-06-30,1,566,0.18%,41.4
2026-07-01,0,487,0%,39.5
2026-07-02,1,462,0.22%,37.2
2026-07-03,1,582,0.17%,33.9
2026-07-04,1,625,0.16%,35.7
2026-07-05,0,713,0%,38.6
2026-07-06,1,796,0.13%,28.2
2026-07-07,2,856,0.23%,32.2
2026-07-08,1,907,0.11%,31.8
2026-07-09,0,1417,0%,41.6
2026-07-10,3,1161,0.26%,34.9
2026-07-11,1,962,0.1%,39.5
2026-07-12,1,832,0.12%,35
2026-07-13,1,1056,0.09%,35.1
2026-07-14,5,1074,0.47%,33.6
2026-07-15,2,1044,0.19%,31.9
2026-07-16,0,954,0%,27.1
2026-07-17,3,850,0.35%,29.2
2026-07-18,0,629,0%,30
2026-07-19,0,634,0%,32
2026-07-20,4,818,0.49%,22.7
2026-07-21,2,891,0.22%,19.7
2026-07-22,1,867,0.12%,22
2026-07-23,2,867,0.23%,26
2026-07-24,0,931,0%,29.9
2026-07-25,2,660,0.3%,30.5
2026-07-26,0,745,0%,31
2026-07-27,3,988,0.3%,27.8
2026-07-28,1,1300,0.08%,30.3
2026-07-29,0,1367,0%,27.3
2026-07-30,1,1457,0.07%,31.1
2026-07-31,0,1303,0%,28
2026-08-01,0,1081,0%,30.4
2026-08-02,1,1063,0.09%,30
2026-08-03,3,1104,0.27%,20.7
2026-08-04,0,1037,0%,18.5
2026-08-05,2,1426,0.14%,25.4
2026-08-06,2,1308,0.15%,26.9
