Country,Clicks,Impressions,CTR,Position
United States,39,38604,0.1%,34.82
United Kingdom,1,995,0.1%,64.85
Canada,1,969,0.1%,46.39
South Africa,1,105,0.95%,20.62
Morocco,1,92,1.09%,37.65
Egypt,1,69,1.45%,30.42
Puerto Rico,1,60,1.67%,6.88
Trinidad & Tobago,1,39,2.56%,9.18
Japan,1,28,3.57%,11.86
Ecuador,1,28,3.57%,20.07
Peru,1,10,10%,16.2
Tajikistan,1,8,12.5%,6.88
Australia,0,475,0%,50.56
Vietnam,0,418,0%,39.73
India,0,412,0%,21.99
Philippines,0,327,0%,29.6
Indonesia,0,247,0%,36.42
Mexico,0,240,0%,31.05
New Zealand,0,180,0%,51.93
Russia,0,150,0%,40.69
Brazil,0,121,0%,27.35
Thailand,0,115,0%,37.53
Pakistan,0,113,0%,28.59
United Arab Emirates,0,113,0%,68.77
Turkey,0,97,0%,38.7
Saudi Arabia,0,93,0%,40.45
Ukraine,0,91,0%,38.08
Malaysia,0,87,0%,31.77
Netherlands,0,83,0%,54.23
Colombia,0,80,0%,27.01
Spain,0,80,0%,40.06
Bangladesh,0,79,0%,36.94
France,0,63,0%,32.1
Ireland,0,59,0%,24.56
Jamaica,0,57,0%,15.74
Italy,0,54,0%,39.69
Jordan,0,50,0%,38.3
Germany,0,50,0%,38.96
Algeria,0,46,0%,38.59
Kenya,0,45,0%,15.33
Singapore,0,45,0%,30.38
Israel,0,45,0%,46.31
Argentina,0,43,0%,32.02
Nigeria,0,42,0%,14.52
Belize,0,42,0%,16.95
Iraq,0,37,0%,35.59
Panama,0,34,0%,8.38
Guam,0,26,0%,8.42
Hong Kong,0,23,0%,31.78
South Korea,0,22,0%,24.64
Guyana,0,21,0%,9.14
Norway,0,20,0%,36.8
Greece,0,18,0%,36.11
Dominican Republic,0,16,0%,21.12
Poland,0,16,0%,21.75
Switzerland,0,15,0%,35.53
Sweden,0,15,0%,38.2
Chile,0,14,0%,11.86
Bahamas,0,13,0%,8.69
Uganda,0,13,0%,11.46
Costa Rica,0,13,0%,14.69
Austria,0,13,0%,34.38
Bulgaria,0,13,0%,38.31
Fiji,0,12,0%,7.42
Hungary,0,12,0%,33.67
Denmark,0,12,0%,40.92
Portugal,0,11,0%,27.73
Papua New Guinea,0,10,0%,6.5
El Salvador,0,10,0%,7.3
Ghana,0,10,0%,7.5
Nicaragua,0,10,0%,8.5
Seychelles,0,10,0%,9.2
Romania,0,10,0%,36.8
St. Vincent & Grenadines,0,9,0%,8.44
Qatar,0,9,0%,13.56
Belarus,0,9,0%,37.56
Swaziland,0,9,0%,44.78
Guatemala,0,8,0%,12.62
Sri Lanka,0,8,0%,22.25
Venezuela,0,8,0%,26.88
Paraguay,0,7,0%,5.57
Taiwan,0,7,0%,5.86
Honduras,0,7,0%,14.71
Ethiopia,0,7,0%,23.71
Kazakhstan,0,7,0%,34.71
Tunisia,0,7,0%,35.86
Belgium,0,6,0%,17.33
Serbia,0,6,0%,22.33
Lithuania,0,6,0%,23.83
St. Lucia,0,5,0%,6.2
U.S. Virgin Islands,0,5,0%,6.6
Barbados,0,5,0%,8.4
Guernsey,0,5,0%,9.8
Rwanda,0,5,0%,18.6
Kuwait,0,5,0%,20
Luxembourg,0,5,0%,20
Bahrain,0,5,0%,29.8
Finland,0,5,0%,31
Armenia,0,5,0%,33
Iceland,0,5,0%,57
Estonia,0,5,0%,62
American Samoa,0,4,0%,7
China,0,4,0%,9.75
Botswana,0,4,0%,11
Oman,0,4,0%,27
Uruguay,0,4,0%,30.25
Slovakia,0,4,0%,44
Bosnia & Herzegovina,0,3,0%,6.67
Malta,0,3,0%,15.67
Lebanon,0,3,0%,18.67
Czechia,0,3,0%,21
Syria,0,3,0%,27.67
Palestine,0,3,0%,33.67
Bolivia,0,3,0%,42.67
Nepal,0,3,0%,63.33
Bermuda,0,2,0%,5.5
Namibia,0,2,0%,5.5
Albania,0,2,0%,6
St. Kitts & Nevis,0,2,0%,6
Macedonia,0,2,0%,6
Tanzania,0,2,0%,8.5
Mauritius,0,2,0%,9.5
Grenada,0,2,0%,10.5
Azerbaijan,0,2,0%,24.5
Moldova,0,2,0%,57
Cambodia,0,2,0%,67.5
Latvia,0,2,0%,76
Burundi,0,1,0%,1
Brunei,0,1,0%,1
Congo - Brazzaville,0,1,0%,1
Isle of Man,0,1,0%,1
Libya,0,1,0%,1
Macau,0,1,0%,1
Myanmar (Burma),0,1,0%,1
Jersey,0,1,0%,2
Zimbabwe,0,1,0%,2
Suriname,0,1,0%,3
Cyprus,0,1,0%,6
Northern Mariana Islands,0,1,0%,6
Uzbekistan,0,1,0%,7
Congo - Kinshasa,0,1,0%,8
Cayman Islands,0,1,0%,8
Laos,0,1,0%,8
Liberia,0,1,0%,8
Micronesia,0,1,0%,9
Samoa,0,1,0%,9
Antigua & Barbuda,0,1,0%,10
Caribbean Netherlands,0,1,0%,10
Georgia,0,1,0%,10
Mongolia,0,1,0%,10
Aruba,0,1,0%,11
Curaçao,0,1,0%,11
Dominica,0,1,0%,11
Zambia,0,1,0%,11
Cameroon,0,1,0%,12
Maldives,0,1,0%,12
Haiti,0,1,0%,16
French Polynesia,0,1,0%,23
Iran,0,1,0%,31
Kyrgyzstan,0,1,0%,45
Senegal,0,1,0%,45
British Virgin Islands,0,1,0%,51
Cuba,0,1,0%,65
Liechtenstein,0,1,0%,76
