Date,Clicks,Impressions,CTR,Position
2026-06-14,0,370,0%,57.7
2026-06-15,0,348,0%,58.6
2026-06-16,0,354,0%,56.9
2026-06-17,0,343,0%,49.1
2026-06-18,0,432,0%,44.5
2026-06-19,0,368,0%,44.3
2026-06-20,0,360,0%,49.6
2026-06-21,0,294,0%,47.2
2026-06-22,0,395,0%,38
2026-06-23,0,438,0%,40.4
2026-06-24,0,442,0%,45.4
2026-06-25,0,455,0%,40
2026-06-26,1,408,0.25%,36.2
2026-06-27,0,364,0%,53.2
2026-06-28,0,460,0%,53.1
2026-06-29,0,628,0%,45.1
2026-06-30,1,566,0.18%,41.4
2026-07-01,0,487,0%,39.5
2026-07-02,1,462,0.22%,37.2
2026-07-03,1,582,0.17%,33.9
2026-07-04,1,625,0.16%,35.7
2026-07-05,0,713,0%,38.6
2026-07-06,1,796,0.13%,28.2
2026-07-07,2,856,0.23%,32.2
2026-07-08,1,907,0.11%,31.8
2026-07-09,0,1417,0%,41.6
2026-07-10,3,1161,0.26%,34.9
2026-07-11,1,962,0.1%,39.5
2026-07-12,1,832,0.12%,35
2026-07-13,1,1056,0.09%,35.1
2026-07-14,5,1074,0.47%,33.6
2026-07-15,2,1044,0.19%,31.9
2026-07-16,0,954,0%,27.1
2026-07-17,3,850,0.35%,29.2
2026-07-18,0,629,0%,30
2026-07-19,0,634,0%,32
2026-07-20,4,818,0.49%,22.7
2026-07-21,2,891,0.22%,19.7
2026-07-22,1,867,0.12%,22
2026-07-23,2,867,0.23%,26
2026-07-24,0,931,0%,29.9
2026-07-25,2,660,0.3%,30.5
2026-07-26,0,745,0%,31
2026-07-27,3,988,0.3%,27.8
2026-07-28,1,1300,0.08%,30.3
2026-07-29,0,1367,0%,27.3
2026-07-30,1,1457,0.07%,31.1
2026-07-31,0,1303,0%,28
2026-08-01,0,1081,0%,30.4
2026-08-02,1,1063,0.09%,30
2026-08-03,3,1104,0.27%,20.7
2026-08-04,0,1037,0%,18.5
2026-08-05,2,1426,0.14%,25.4
2026-08-06,2,1308,0.15%,26.9
2026-08-07,1,1126,0.09%,17.3
2026-08-08,0,886,0%,26.3
2026-08-09,1,945,0.11%,23.5
2026-08-10,2,1441,0.14%,28.2
2026-08-11,1,1449,0.07%,25.4
2026-08-12,3,1663,0.18%,28.4
2026-08-13,3,1765,0.17%,29.7
2026-08-14,0,1534,0%,21.8
2026-08-15,1,1686,0.06%,27.2
2026-08-16,1,1561,0.06%,24.7
2026-08-17,1,2361,0.04%,20.2
2026-08-18,3,2283,0.13%,19.2
2026-08-19,2,2231,0.09%,19.3
2026-08-20,3,2232,0.13%,20.9
2026-08-21,1,2236,0.04%,21.1
2026-08-22,2,1500,0.13%,24.7
2026-08-23,0,1432,0%,22.4
2026-08-24,1,2099,0.05%,22
2026-08-25,3,2102,0.14%,25.3
2026-08-26,0,2140,0%,23.5
2026-08-27,2,2096,0.1%,23.1
2026-08-28,2,1904,0.11%,27.8
2026-08-29,0,1905,0%,39.7
2026-08-30,1,1516,0.07%,33.2
2026-08-31,2,1889,0.11%,25.4
2026-09-01,1,1891,0.05%,17.3
2026-09-02,3,1914,0.16%,17
2026-09-03,1,2237,0.04%,15.2
2026-09-04,3,2282,0.13%,14.9
2026-09-05,0,1522,0%,17.8
2026-09-06,1,1555,0.06%,18.3
2026-09-07,1,2000,0.05%,16.6
2026-09-08,3,3582,0.08%,12.4
2026-09-09,1,3324,0.03%,14.1
2026-09-10,2,2705,0.07%,12.3
2026-09-11,0,2448,0%,12.9
2026-09-12,0,1669,0%,19.5
2026-09-13,0,1681,0%,18.3
