Country,Clicks,Impressions,CTR,Position
United States,89,98746,0.09%,21.99
Canada,1,1710,0.06%,44.54
United Kingdom,1,1371,0.07%,59.63
Morocco,1,251,0.4%,52.93
Saudi Arabia,1,159,0.63%,42.76
South Africa,1,158,0.63%,22.96
Puerto Rico,1,103,0.97%,7.18
Germany,1,101,0.99%,34.02
Egypt,1,83,1.2%,27.86
Trinidad & Tobago,1,66,1.52%,8.77
Japan,1,44,2.27%,16.32
Ecuador,1,37,2.7%,16.76
Peru,1,21,4.76%,21.33
India,0,1595,0%,41.69
Philippines,0,1547,0%,52.9
Vietnam,0,926,0%,53.48
Australia,0,822,0%,45.17
Mexico,0,794,0%,49.46
Indonesia,0,714,0%,51.7
Turkey,0,625,0%,60.32
Bangladesh,0,426,0%,59.64
Malaysia,0,356,0%,55.42
Thailand,0,329,0%,51.91
Russia,0,301,0%,49.41
New Zealand,0,237,0%,47.38
Ukraine,0,224,0%,50.86
Spain,0,201,0%,46.01
United Arab Emirates,0,179,0%,40.7
Pakistan,0,173,0%,35.36
France,0,172,0%,48.76
Algeria,0,172,0%,57.58
Brazil,0,160,0%,24.27
Jordan,0,156,0%,55.12
Netherlands,0,110,0%,52.25
Colombia,0,104,0%,25.16
Jamaica,0,99,0%,12.72
Ireland,0,87,0%,21.3
Italy,0,83,0%,33.1
Israel,0,80,0%,48.24
Nigeria,0,76,0%,13.45
Kenya,0,75,0%,14.41
Argentina,0,74,0%,25.23
Singapore,0,72,0%,27.07
Belize,0,61,0%,14.16
Iraq,0,48,0%,34.52
Panama,0,47,0%,8.15
Guyana,0,44,0%,11.82
Guam,0,43,0%,8.16
Hong Kong,0,34,0%,27.35
Greece,0,33,0%,25.15
South Korea,0,31,0%,23.29
Sweden,0,29,0%,34.07
Chile,0,26,0%,13.62
Fiji,0,25,0%,7.8
Denmark,0,25,0%,37.6
Bahamas,0,24,0%,8.62
Poland,0,24,0%,20.25
Switzerland,0,23,0%,26.04
Norway,0,22,0%,23.41
Costa Rica,0,21,0%,15.57
Hungary,0,19,0%,25.58
Uganda,0,18,0%,11.83
Ghana,0,16,0%,9.25
Honduras,0,16,0%,12.56
Dominican Republic,0,16,0%,21
Portugal,0,16,0%,23
Romania,0,16,0%,27.31
Bulgaria,0,16,0%,40.94
Paraguay,0,14,0%,9.07
Sri Lanka,0,14,0%,13.21
Austria,0,14,0%,17.79
Venezuela,0,14,0%,20.93
Papua New Guinea,0,13,0%,6.62
Nicaragua,0,13,0%,7.54
St. Vincent & Grenadines,0,13,0%,7.77
El Salvador,0,13,0%,9.31
Finland,0,13,0%,17.46
Guatemala,0,13,0%,18.15
China,0,13,0%,23
Swaziland,0,13,0%,47.85
Taiwan,0,12,0%,5.67
Qatar,0,12,0%,15.25
Nepal,0,12,0%,29.08
US Virgin Islands,0,11,0%,5.82
St. Lucia,0,11,0%,7.09
Ethiopia,0,11,0%,11.27
Lebanon,0,11,0%,16.73
Belarus,0,11,0%,34.73
Kazakhstan,0,11,0%,36.09
Belgium,0,10,0%,6.4
Seychelles,0,10,0%,9.2
Lithuania,0,10,0%,19.4
Syria,0,10,0%,30.1
Estonia,0,9,0%,59.44
Barbados,0,8,0%,7.62
Serbia,0,8,0%,11
Luxembourg,0,7,0%,6.71
Oman,0,7,0%,8.43
Kuwait,0,7,0%,19.29
Czechia,0,7,0%,20.29
Bahrain,0,7,0%,24.14
Uruguay,0,7,0%,26
Slovakia,0,7,0%,27.29
Tunisia,0,7,0%,35.86
St. Kitts & Nevis,0,6,0%,7
Albania,0,6,0%,12.33
Rwanda,0,6,0%,15.67
Armenia,0,6,0%,35
Zimbabwe,0,5,0%,4.4
Namibia,0,5,0%,5.8
Bosnia & Herzegovina,0,5,0%,8.4
Guernsey,0,5,0%,9.8
Botswana,0,5,0%,17.2
Azerbaijan,0,5,0%,22.2
Bolivia,0,5,0%,29
Myanmar (Burma),0,5,0%,47.2
Brunei,0,4,0%,3
Northern Mariana Islands,0,4,0%,6
American Samoa,0,4,0%,7
Mauritius,0,4,0%,8
Malta,0,4,0%,14.25
Palestine,0,4,0%,26.25
Cambodia,0,4,0%,51.5
Moldova,0,4,0%,52.25
Iceland,0,4,0%,52.5
Mongolia,0,3,0%,6.33
Burundi,0,3,0%,7.33
Bermuda,0,3,0%,7.33
Grenada,0,3,0%,10.33
Zambia,0,3,0%,10.67
Macedonia,0,3,0%,18.67
Senegal,0,3,0%,39.67
Croatia,0,3,0%,48
Cyprus,0,2,0%,4
Cayman Islands,0,2,0%,4.5
Jersey,0,2,0%,4.5
Slovenia,0,2,0%,5.5
Kosovo,0,2,0%,6
Aruba,0,2,0%,9.5
Dominica,0,2,0%,10
Uzbekistan,0,2,0%,10
Liberia,0,2,0%,11
Haiti,0,2,0%,20.5
Congo - Kinshasa,0,2,0%,27
Angola,0,2,0%,37.5
Cuba,0,2,0%,38
Congo - Brazzaville,0,1,0%,1
Georgia,0,1,0%,1
Isle of Man,0,1,0%,1
Libya,0,1,0%,1
Macau,0,1,0%,1
Montenegro,0,1,0%,1
Vanuatu,0,1,0%,1
Antarctica,0,1,0%,7
Laos,0,1,0%,8
Micronesia,0,1,0%,9
Tanzania,0,1,0%,9
Samoa,0,1,0%,9
Antigua & Barbuda,0,1,0%,10
Caribbean Netherlands,0,1,0%,10
Sint Maarten,0,1,0%,10
Tonga,0,1,0%,10
Curaçao,0,1,0%,11
Gambia,0,1,0%,11
Solomon Islands,0,1,0%,11
Maldives,0,1,0%,12
Sudan,0,1,0%,36
Kyrgyzstan,0,1,0%,45
Afghanistan,0,1,0%,57
Andorra,0,1,0%,57
Western Sahara,0,1,0%,70
Latvia,0,1,0%,83
